label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
A,0.0,0.0,1.9514833688735962,-0.2771165072917938,-0.003998085856437683,0.651163637638092,-0.5697957873344421,-0.21409648656845093,0.07536090910434723,-0.6829471588134766,-0.5374581813812256,-0.5087363123893738,-0.5634316205978394,-0.7699289917945862,-0.8425757884979248,-0.5019516348838806,-0.6301760673522949,1.8554357290267944,-0.5176394581794739,-0.8555988669395447,-0.07758427411317825,-0.45200228691101074,-0.6032364368438721,-1.1984933614730835,-0.4289262294769287,-0.44285985827445984,-1.7045685052871704,-0.3324190676212311,-0.6898457407951355,1.691076636314392,-0.3399063050746918,-0.9238550662994385,-0.36422887444496155,-0.28133314847946167,-0.5734042525291443,-0.8247078657150269,-0.28027093410491943,-0.4024560749530792,-0.6025328040122986,-0.1709016114473343,-0.7134577631950378,1.1582413911819458,-0.16616329550743103,-0.9266871213912964,-0.9773341417312622,-0.1281595081090927,-0.5710614323616028,-0.5086302757263184,-0.13906310498714447,-0.39090651273727417,0.4269260764122009,-0.001344230375252664,-0.6961364150047302,0.5119143128395081,-0.010859646834433079,-0.8585042953491211,-0.8223304152488708,0.005093914922326803,-0.5989004969596863,-0.32247233390808105,-0.012930982746183872,-0.4452817440032959,0.43259239196777344
A,0.0,0.0,1.7223824262619019,-0.27437976002693176,-0.03640317544341087,0.4937100410461426,-0.5489361882209778,-0.2423427402973175,-0.09213785827159882,-0.660103440284729,-0.5587594509124756,-0.7430998682975769,-0.5426713824272156,-0.7867674827575684,-1.1649069786071777,-0.486236572265625,-0.6307051181793213,1.930676817893982,-0.5050601363182068,-0.8630841374397278,0.023709775879979134,-0.438683420419693,-0.6392069458961487,-1.1714911460876465,-0.4047245681285858,-0.4719981551170349,-1.694501519203186,-0.32760944962501526,-0.6871484518051147,1.7731620073318481,-0.33234524726867676,-0.9188576340675354,-0.24782150983810425,-0.27197325229644775,-0.5981881618499756,-0.8080216646194458,-0.2603994607925415,-0.41007837653160095,-0.628655731678009,-0.17605584859848022,-0.7063625454902649,1.240462064743042,-0.1687680333852768,-0.9172269105911255,-0.8135680556297302,-0.1320689171552658,-0.5923818349838257,-0.4859030842781067,-0.13471439480781555,-0.3968982696533203,0.38238832354545593,-0.017286445945501328,-0.6811990737915039,0.5956664085388184,-0.02527684159576893,-0.8446313142776489,-0.6325541734695435,-0.011082918383181095,-0.6185464262962341,-0.19839628040790558,-0.02407757379114628,-0.4601445198059082,0.5189026594161987
A,0.0,0.0,1.861606478691101,-0.2831742465496063,-0.011426609009504318,0.5927778482437134,-0.5750524997711182,-0.211503267288208,0.017167402431368828,-0.6945809721946716,-0.5288098454475403,-0.5875059962272644,-0.5853997468948364,-0.7700272798538208,-0.9433560371398926,-0.5147923827171326,-0.6165466904640198,1.8764543533325195,-0.5384465456008911,-0.8426597118377686,-0.06793646514415741,-0.46660974621772766,-0.5942437052726746,-1.2146703004837036,-0.433436781167984,-0.429089218378067,-1.7169815301895142,-0.3512876629829407,-0.6826775670051575,1.7172702550888062,-0.36896517872810364,-0.9207779169082642,-0.3308088779449463,-0.298027366399765,-0.5751051902770996,-0.8131945729255676,-0.2829952836036682,-0.3976931869983673,-0.5969606637954712,-0.19310502707958221,-0.7121187448501587,1.1863106489181519,-0.19891798496246338,-0.9344226717948914,-0.931454062461853,-0.15092867612838745,-0.582554280757904,-0.47090157866477966,-0.14952075481414795,-0.39154601097106934,0.47508883476257324,-0.026784714311361313,-0.695810854434967,0.540262758731842,-0.04161493480205536,-0.8599095940589905,-0.7767295837402344,-0.02007599174976349,-0.6077432036399841,-0.287672758102417,-0.029872937127947807,-0.4481111764907837,0.47123757004737854
A,0.0,0.0,1.905530333518982,-0.27889931201934814,-0.010432485491037369,0.6373838782310486,-0.5720279216766357,-0.207894966006279,0.061763547360897064,-0.6952230334281921,-0.5241940021514893,-0.5439825057983398,-0.5863134264945984,-0.7604579925537109,-0.8990780711174011,-0.5158906579017639,-0.6094076037406921,1.8752291202545166,-0.5381163358688354,-0.8428705930709839,-0.0576678030192852,-0.4632703959941864,-0.5942402482032776,-1.1806340217590332,-0.4313518702983856,-0.4313491880893707,-1.6739552021026611,-0.35093921422958374,-0.6737300753593445,1.7038230895996094,-0.36465391516685486,-0.9145390391349792,-0.37250345945358276,-0.2933052182197571,-0.5693753361701965,-0.8533138036727905,-0.28089308738708496,-0.3937823474407196,-0.6302025318145752,-0.19346372783184052,-0.7030069231987,1.1660767793655396,-0.1956644356250763,-0.9216974377632141,-0.9747267961502075,-0.14668813347816467,-0.5732870697975159,-0.5173624753952026,-0.14712703227996826,-0.38711345195770264,0.43065670132637024,-0.02818308211863041,-0.6899254322052002,0.5168173313140869,-0.04200656712055206,-0.8563429117202759,-0.7918052077293396,-0.01831009052693844,-0.6080834865570068,-0.2851557731628418,-0.027989331632852554,-0.45111045241355896,0.4831118583679199
A,0.0,0.0,1.8941752910614014,-0.273257851600647,-0.010763944126665592,0.6078214049339294,-0.5659027099609375,-0.21186567842960358,0.03963479399681091,-0.6893250942230225,-0.5270262360572815,-0.560448944568634,-0.5797644257545471,-0.7595875859260559,-0.90819251537323,-0.5068163275718689,-0.6129484176635742,1.8918671607971191,-0.5314309597015381,-0.8471015691757202,-0.04614373296499252,-0.45501771569252014,-0.5968703627586365,-1.1649024486541748,-0.42086178064346313,-0.4319295287132263,-1.6487209796905518,-0.3443394899368286,-0.6759415864944458,1.7221592664718628,-0.3578522205352783,-0.9128702878952026,-0.372013121843338,-0.28568190336227417,-0.5688849687576294,-0.8463268876075745,-0.2719225585460663,-0.39306122064590454,-0.6021818518638611,-0.18920035660266876,-0.7029171586036682,1.1778755187988281,-0.19161006808280945,-0.9169288277626038,-0.9847519993782043,-0.14103494584560394,-0.5699713230133057,-0.5246495008468628,-0.14006221294403076,-0.38510414958000183,0.4373413622379303,-0.025408228859305382,-0.6888620257377625,0.5204831957817078,-0.03941355273127556,-0.8510410785675049,-0.8072220087051392,-0.014571445062756538,-0.6019039154052734,-0.3009367883205414,-0.023064903914928436,-0.4460121691226959,0.4751340448856354
A,0.0,0.0,1.8067861795425415,-0.27672263979911804,-0.009622962214052677,0.5384507179260254,-0.5678534507751465,-0.2101169377565384,-0.028523139655590057,-0.6927533149719238,-0.5234984159469604,-0.6348448991775513,-0.5849020481109619,-0.7585394382476807,-0.9936186075210571,-0.5106050968170166,-0.6103590726852417,1.9068533182144165,-0.5374372601509094,-0.8433037996292114,-0.02604612149298191,-0.46116307377815247,-0.596980094909668,-1.1776320934295654,-0.4242709279060364,-0.427792489528656,-1.6743030548095703,-0.34945541620254517,-0.6736463904380798,1.747353434562683,-0.3641939163208008,-0.9099208116531372,-0.33400923013687134,-0.2905636429786682,-0.5686658024787903,-0.8466897010803223,-0.2741576135158539,-0.38729244470596313,-0.6203529834747314,-0.19520606100559235,-0.7022241353988647,1.211509346961975,-0.19697722792625427,-0.9121819138526917,-0.922724187374115,-0.1467828005552292,-0.5664157271385193,-0.5000684857368469,-0.14529132843017578,-0.37744399905204773,0.44220536947250366,-0.03318158537149429,-0.6885520219802856,0.561758816242218,-0.04577064886689186,-0.8493969440460205,-0.7376802563667297,-0.02060374990105629,-0.599839985370636,-0.24450528621673584,-0.028952674940228462,-0.4412320554256439,0.5260787606239319
A,0.0,0.0,1.8824690580368042,-0.276468962430954,-0.0038920845836400986,0.6211983561515808,-0.5687746405601501,-0.2055266797542572,0.060382891446352005,-0.6906207799911499,-0.5219332575798035,-0.5380188822746277,-0.5814921855926514,-0.7551565766334534,-0.8799963593482971,-0.5068138837814331,-0.6035571694374084,1.9021505117416382,-0.534630537033081,-0.845085859298706,-0.053474061191082,-0.4612258970737457,-0.5946141481399536,-1.1846013069152832,-0.42730748653411865,-0.42822882533073425,-1.6732723712921143,-0.345892995595932,-0.6651335954666138,1.726448893547058,-0.357977032661438,-0.9038063883781433,-0.36884936690330505,-0.2896149754524231,-0.561877429485321,-0.844161331653595,-0.2796899378299713,-0.3864940404891968,-0.6106334328651428,-0.19292666018009186,-0.6930326819419861,1.1747565269470215,-0.19383837282657623,-0.9099786281585693,-0.9674762487411499,-0.14646247029304504,-0.5644301176071167,-0.5039796829223633,-0.1483171135187149,-0.3797439634799957,0.4429453909397125,-0.0317990817129612,-0.6812111139297485,0.5078027248382568,-0.04261453077197075,-0.8373920917510986,-0.8116337656974792,-0.019498955458402634,-0.5869719386100769,-0.3196948170661926,-0.029804756864905357,-0.4321979880332947,0.4376421868801117
A,0.0,0.0,1.84183931350708,-0.2778424918651581,-0.003676848951727152,0.6009009480476379,-0.5706664323806763,-0.20932219922542572,0.06077326461672783,-0.6907422542572021,-0.5267394185066223,-0.5266209840774536,-0.5808429718017578,-0.7606572508811951,-0.8579317331314087,-0.5048898458480835,-0.6039146780967712,1.9182804822921753,-0.5322505831718445,-0.8465868234634399,-0.04451457038521767,-0.4620484709739685,-0.6003295183181763,-1.1964154243469238,-0.4283048212528229,-0.4280968904495239,-1.6945346593856812,-0.3449903726577759,-0.6646479964256287,1.7320940494537354,-0.3582000434398651,-0.9068588614463806,-0.3638155460357666,-0.29081234335899353,-0.570179283618927,-0.8594598174095154,-0.280023455619812,-0.3895721435546875,-0.6400797367095947,-0.19271545112133026,-0.69256991147995,1.1693978309631348,-0.1961313635110855,-0.9125893115997314,-0.9628756642341614,-0.1473814994096756,-0.5698750019073486,-0.4853469729423523,-0.1480110138654709,-0.38094252347946167,0.46931755542755127,-0.032510772347450256,-0.6819867491722107,0.4894742965698242,-0.043756820261478424,-0.8440856337547302,-0.8150790333747864,-0.01981840282678604,-0.5955460071563721,-0.3024250566959381,-0.02943957783281803,-0.438638836145401,0.46702173352241516
A,0.0,0.0,1.8820823431015015,-0.2774817645549774,0.0033367802388966084,0.5933488011360168,-0.5724146366119385,-0.204629585146904,0.056489698588848114,-0.6929061412811279,-0.5268539786338806,-0.5122448205947876,-0.5852015018463135,-0.7604535818099976,-0.8191662430763245,-0.5074725151062012,-0.5977184176445007,1.8711878061294556,-0.5347917079925537,-0.8449839353561401,-0.09689027816057205,-0.4605894684791565,-0.5950062870979309,-1.21278977394104,-0.4279979467391968,-0.42744532227516174,-1.68162202835083,-0.34660083055496216,-0.6598406434059143,1.7188876867294312,-0.3567243814468384,-0.902340292930603,-0.4006807506084442,-0.2863844633102417,-0.5607057809829712,-0.8711293339729309,-0.2785598039627075,-0.3850862681865692,-0.6268336176872253,-0.19460393488407135,-0.6901209354400635,1.1880013942718506,-0.1940881758928299,-0.9101908802986145,-0.9851579070091248,-0.14277862012386322,-0.5623863935470581,-0.5025753378868103,-0.14505474269390106,-0.3762577474117279,0.46772700548171997,-0.03430810198187828,-0.6829397678375244,0.5402294397354126,-0.04230803623795509,-0.845092236995697,-0.7952686548233032,-0.015532250516116619,-0.5953918695449829,-0.2926933169364929,-0.025600755587220192,-0.44077205657958984,0.47909411787986755
A,0.0,0.0,1.8510682582855225,-0.27864402532577515,-0.005860619246959686,0.6048263907432556,-0.5701608061790466,-0.21090199053287506,0.05130055919289589,-0.6877062916755676,-0.528082013130188,-0.5500982403755188,-0.577418327331543,-0.7650606632232666,-0.8998689651489258,-0.5049207806587219,-0.6040866374969482,1.9274089336395264,-0.534045398235321,-0.8454558253288269,-0.017361551523208618,-0.4603211581707001,-0.6056036949157715,-1.1687999963760376,-0.4262145757675171,-0.4367375671863556,-1.6710108518600464,-0.3448488712310791,-0.666943371295929,1.7419582605361938,-0.35637351870536804,-0.9087610840797424,-0.34080493450164795,-0.28842654824256897,-0.5751484036445618,-0.8587813377380371,-0.2788715362548828,-0.3918392062187195,-0.6587681770324707,-0.19169174134731293,-0.6946474313735962,1.1816754341125488,-0.19310328364372253,-0.9116800427436829,-0.9444003701210022,-0.1446734368801117,-0.5714888572692871,-0.5144158601760864,-0.14567992091178894,-0.38081297278404236,0.40797123312950134,-0.03001287765800953,-0.6823856234550476,0.5072243809700012,-0.04221043363213539,-0.8430434465408325,-0.7925935983657837,-0.018391301855444908,-0.597674548625946,-0.3037737011909485,-0.02758408710360527,-0.43952375650405884,0.44724586606025696
